image,coder,noise_kind,std,pcc,cr,psnr
frisco.bmp,JPEG,gaussian,10,1.0,69.05795574288724,25.140466998672824
frisco.bmp,JPEG,gaussian,10,2.0,69.0397682380827,25.142642829364913
frisco.bmp,JPEG,gaussian,10,3.0,66.06451612903226,25.410994719527928
frisco.bmp,JPEG,gaussian,10,4.0,60.56931608133087,26.976722806008695
frisco.bmp,JPEG,gaussian,10,5.0,55.2463645943098,28.109912560269695
frisco.bmp,JPEG,gaussian,10,6.0,50.48998459167951,28.855487127908283
frisco.bmp,JPEG,gaussian,10,7.0,46.86163746871648,29.734309565697593
frisco.bmp,JPEG,gaussian,10,8.0,43.748998664886514,30.506417160741922
frisco.bmp,JPEG,gaussian,10,9.0,41.12062745098039,31.134610505091807
frisco.bmp,JPEG,gaussian,10,10.0,38.4770292088654,31.48688102714447
frisco.bmp,JPEG,gaussian,10,11.0,35.99890140071409,31.79081891563761
frisco.bmp,JPEG,gaussian,10,12.0,33.98288825512056,32.00191094125768
frisco.bmp,JPEG,gaussian,10,13.0,31.663727503321656,32.13212199367934
frisco.bmp,JPEG,gaussian,10,14.0,29.66100927811722,32.16387941941859
frisco.bmp,JPEG,gaussian,10,15.0,27.751852636036418,32.1770868706627
frisco.bmp,JPEG,gaussian,10,16.0,26.065824798647707,32.14376862625405
frisco.bmp,JPEG,gaussian,10,17.0,24.50401944288652,32.171783778018344
frisco.bmp,JPEG,gaussian,10,18.0,23.07605633802817,32.12587659262978
frisco.bmp,JPEG,gaussian,10,19.0,21.934900845117564,32.0997942823699
frisco.bmp,JPEG,gaussian,10,20.0,20.836499483347904,32.06448905780856
frisco.bmp,JPEG,gaussian,10,21.0,19.671619390664866,32.00005022438528
frisco.bmp,JPEG,gaussian,10,22.0,18.731261164701678,31.93082736067408
frisco.bmp,JPEG,gaussian,10,23.0,17.789359391965256,31.85403030990271
frisco.bmp,JPEG,gaussian,10,24.0,16.998054727013358,31.80548295686873
frisco.bmp,JPEG,gaussian,10,25.0,16.303501461533678,31.7331047805586
frisco.bmp,JPEG,gaussian,10,26.0,15.648519579751671,31.684600755934014
frisco.bmp,JPEG,gaussian,10,27.0,15.079613437643811,31.655644495753382
