image,coder,noise_kind,std,variance,pcc,cr,log_cr,psnr,haar_psi
fr02.bmp,JPEG,gaussian,0,0,1.0,50.20953840260486,1.7007862287409459,21.012196863712028,0.3061131536960602
fr02.bmp,JPEG,gaussian,0,0,2.0,50.11355381380233,1.6999552019242254,21.01666614290928,0.30633309483528137
fr02.bmp,JPEG,gaussian,0,0,3.0,44.83393193090474,1.6516068281143776,21.555291448081597,0.35824185609817505
fr02.bmp,JPEG,gaussian,0,0,4.0,37.84379962465714,1.5779947343148226,22.499042519058992,0.4303256869316101
fr02.bmp,JPEG,gaussian,0,0,5.0,32.53617971949857,1.512366558307613,23.283365568497555,0.4892812669277191
fr02.bmp,JPEG,gaussian,0,0,6.0,28.475342168151204,1.4544689513937061,23.903762223701012,0.5400316715240479
fr02.bmp,JPEG,gaussian,0,0,7.0,25.448403067663335,1.4056605347803717,24.422662596144974,0.5833908319473267
fr02.bmp,JPEG,gaussian,0,0,8.0,23.219131975199293,1.3658459800266938,24.87272198656627,0.6233623027801514
fr02.bmp,JPEG,gaussian,0,0,9.0,21.324656308468235,1.3288820403301322,25.26198091091105,0.6542302370071411
fr02.bmp,JPEG,gaussian,0,0,10.0,19.766551048107374,1.2959308983756714,25.607535542615754,0.6814258694648743
fr02.bmp,JPEG,gaussian,0,0,11.0,18.467347657625925,1.2664045250897855,25.910098785450604,0.7062702178955078
fr02.bmp,JPEG,gaussian,0,0,12.0,17.405484363588076,1.2406861134293614,26.17951388951552,0.7250953316688538
fr02.bmp,JPEG,gaussian,0,0,13.0,16.35946080878682,1.2137689856661418,26.42903828456817,0.7432539463043213
fr02.bmp,JPEG,gaussian,0,0,14.0,15.611243449261552,1.1934374963773176,26.650260132789608,0.7583501935005188
fr02.bmp,JPEG,gaussian,0,0,15.0,14.852351274787535,1.1717952122278201,26.859501439987913,0.7746467590332031
fr02.bmp,JPEG,gaussian,0,0,16.0,14.230714944899843,1.1532267193973644,27.052607776012746,0.787720263004303
fr02.bmp,JPEG,gaussian,0,0,17.0,13.666857828059017,1.135668676616456,27.227569114884645,0.7992821335792542
fr02.bmp,JPEG,gaussian,0,0,18.0,13.166449020592667,1.119468661924252,27.403689278086055,0.8087148070335388
fr02.bmp,JPEG,gaussian,0,0,19.0,12.738422663880655,1.1051156547824688,27.54466587513752,0.8182078003883362
fr02.bmp,JPEG,gaussian,0,0,20.0,12.338510778499483,1.0912627448099068,27.683403651302633,0.8272355794906616
fr02.bmp,JPEG,gaussian,0,0,21.0,11.924851021243688,1.076452962047083,27.833346130815,0.8353056311607361
fr02.bmp,JPEG,gaussian,0,0,22.0,11.555320461958917,1.0627819942054824,27.965712698576294,0.8430209755897522
fr02.bmp,JPEG,gaussian,0,0,23.0,11.214236824093087,1.04976972336144,28.08839664482358,0.8500450849533081
